checking_status duration credit_history purpose credit_amount savings_status employment installment_commitment personal_status other_parties residence_since property_magnitude age other_payment_plans housing existing_credits job num_dependents own_telephone foreign_worker Runtime
0.75 0.6666666666666667 0.19999999999999996 0.1 0.75 0.8 0.6 0.75 0.25 0.33333333333333337 0.25 0.25 0.75 0.33333333333333337 0.11111111111111112 0.5 0.75 0.125 0.5 0.5 193.48464634
0.25 0.33333333333333337 0.2 0.15000000000000002 0.375 0.6 0.4 0.125 0.25 0.16666666666666669 0.125 0.125 0.375 0.16666666666666669 0.33333333333333337 0.375 0.25 0.25 0.25 0.16666666666666666 24.30091756
0.375 0.33333333333333337 0.3 0.45 0.375 0.19999999999999996 0.4 0.25 0.375 0.33333333333333337 0.125 0.125 0.375 0.16666666666666669 0.22222222222222224 0.375 0.25 0.25 0.25 0.25 37.98493721
0.5 0.6666666666666667 0.09999999999999998 0.19999999999999996 0.25 0.6 0.4 0.375 0.25 0.16666666666666669 0.25 0.375 0.375 0.22222222222222224 0.33333333333333337 0.25 0.375 0.25 0.25 0.25 3.16339478
0.375 0.33333333333333337 0.2 0.09999999999999998 0.375 0.19999999999999996 0.4 0.25 0.375 0.22222222222222224 0.125 0.375 0.375 0.22222222222222224 0.22222222222222224 0.125 0.25 0.25 0.16666666666666666 0.16666666666666666 90.54481964
0.25 0.16666666666666669 0.3 0.09999999999999998 0.375 0.4 0.19999999999999998 0.25 0.25 0.22222222222222224 0.125 0.25 0.125 0.22222222222222224 0.16666666666666669 0.125 0.125 0.25 0.16666666666666666 0.16666666666666666 94.73094199
0.25 0.33333333333333337 0.09999999999999998 0.35 0.125 0.4 0.09999999999999998 0.375 0.25 0.33333333333333337 0.125 0.375 0.125 0.22222222222222224 0.33333333333333337 0.375 0.375 0.25 0.25 0.25 27.47561458
0.375 0.33333333333333337 0.4 0.4 0.375 0.19999999999999996 0.09999999999999998 0.125 0.375 0.22222222222222224 0.125 0.25 0.125 0.33333333333333337 0.16666666666666669 0.125 0.125 0.16666666666666666 0.16666666666666666 0.16666666666666666 62.05914469
0.75 0.33333333333333337 0.6 0.5 0.25 0.8 0.19999999999999996 0.25 0.25 0.16666666666666669 0.25 0.5 0.16666666666666666 0.16666666666666669 0.16666666666666669 0.125 0.5 0.5 0.16666666666666666 0.5 170.19848615
0.5 0.33333333333333337 0.19999999999999996 0.35 0.75 0.6 0.19999999999999996 0.375 0.125 0.33333333333333337 0.25 0.5 0.25 0.16666666666666669 0.33333333333333337 0.25 0.25 0.25 0.25 0.16666666666666666 15.73004976
