Recency Frequency Monetary Time Runtime
0.0 0.0 0.0 0.0 0.01317425
0.0 0.0 0.0 0.0 0.01283364
0.0 0.0 0.0 0.0 0.01260622
0.0 0.0 0.0 0.0 0.01256706
0.0 0.0 0.0 0.0 0.01247769
0.0 0.0 0.0 0.0 0.01253025
0.0 0.0 0.0 0.0 0.01258917
0.0 0.0 0.0 0.0 0.01254152
0.0 0.0 0.0 0.0 0.01254753
0.0 0.0 0.0 0.0 0.01260376
0.0 0.0 0.0 0.0 0.01250469
0.0 0.0 0.0 0.0 0.01243836
0.0 0.0 0.0 0.0 0.01244648
0.0 0.0 0.0 0.0 0.01259338
0.0 0.0 0.0 0.0 0.01258534
0.0 0.25 0.0 0.0 0.01255450
0.0 0.0 0.0 0.0 0.01254797
0.0 0.25 0.0 0.0 0.01249516
0.0 0.25 0.0 0.0 0.01248505
0.0 0.0 0.0 0.0 0.01245346
0.0 0.0 0.0 0.0 0.01249792
0.0 0.0 0.0 0.0 0.01266117
0.0 0.0 0.0 0.0 0.01251442
0.0 0.0 0.0 0.0 0.01251041
0.0 0.0 0.0 0.0 0.01251739
0.0 0.0 0.0 0.0 0.01255605
0.0 0.0 0.0 0.0 0.01249359
0.0 0.0 0.0 0.0 0.01249185
0.0 0.0 0.0 0.0 0.01256503
0.0 0.0 0.0 0.0 0.01254649
0.0 0.0 0.0 0.0 0.01259140
0.0 0.0 0.0 0.0 0.01248711
0.0 0.0 0.0 0.0 0.01249111
0.0 0.0 0.0 0.0 0.01249987
0.0 0.0 0.0 0.0 0.01250315
0.0 0.25 0.0 0.0 0.01247850
0.0 0.0 0.0 0.0 0.01259771
0.0 0.25 0.0 0.0 0.01251738
0.0 0.25 0.0 0.0 0.01254366
0.0 0.0 0.0 0.0 0.01255559
0.0 0.0 0.0 0.0 0.01251446
0.0 0.0 0.0 0.0 0.01261160
0.0 0.0 0.0 0.0 0.01252507
0.0 0.0 0.0 0.0 0.01259056
0.0 0.0 0.0 0.0 0.01258879
0.0 0.0 0.0 0.0 0.01249740
0.0 0.0 0.0 0.0 0.01250085
0.0 0.0 0.0 0.0 0.01249498
0.0 0.0 0.0 0.0 0.01249055
0.0 0.0 0.0 0.0 0.01245567
0.0 0.0 0.0 0.0 0.01251433
0.0 0.0 0.0 0.0 0.01252056
0.0 0.0 0.0 0.0 0.01244908
0.0 0.0 0.0 0.0 0.01246384
0.0 0.0 0.0 0.0 0.01250109
0.0 0.25 0.0 0.0 0.01249354
0.0 0.0 0.0 0.0 0.01246909
0.0 0.25 0.0 0.0 0.01264568
0.0 0.25 0.0 0.0 0.01267074
0.0 0.0 0.0 0.0 0.01264229
0.0 0.0 0.25 0.0 0.01256652
0.0 0.0 0.0 0.0 0.01252588
0.0 0.0 0.25 0.0 0.01256333
0.0 0.0 0.25 0.0 0.01255498
0.0 0.0 0.0 0.0 0.01259695
0.0 0.0 0.25 0.0 0.01255575
0.0 0.0 0.0 0.0 0.01260554
0.0 0.0 0.25 0.0 0.01257189
0.0 0.0 0.25 0.0 0.01253590
0.0 0.0 0.0 0.0 0.01255382
0.0 0.0 0.25 0.0 0.01256910
0.0 0.0 0.0 0.0 0.01255197
0.0 0.0 0.25 0.0 0.01253597
0.0 0.0 0.25 0.0 0.01257403
0.0 0.0 0.0 0.0 0.01254662
0.19999999999999996 0.0 0.0 0.6 0.01248148
0.0 0.0 0.0 0.6 0.01249214
0.0 0.0 0.0 0.0 0.01252824
0.0 0.0 0.0 0.0 0.01255258
0.0 0.0 0.0 0.0 0.01254152
0.0 0.0 0.0 0.0 0.01257848
0.0 0.0 0.0 0.0 0.01254371
0.0 0.0 0.0 0.0 0.01250242
0.0 0.0 0.0 0.0 0.01252753
0.0 0.0 0.0 0.0 0.01248137
0.0 0.0 0.0 0.0 0.01255402
0.0 0.0 0.0 0.0 0.01249018
0.0 0.0 0.0 0.0 0.01257709
0.0 0.0 0.0 0.0 0.01261970
0.0 0.0 0.0 0.0 0.01263802
0.0 0.0 0.0 0.0 0.01256306
0.0 0.0 0.0 0.0 0.01255273
0.0 0.25 0.0 0.0 0.01257723
0.0 0.25 0.0 0.0 0.01255488
0.0 0.25 0.0 0.0 0.01249106
0.0 0.25 0.0 0.0 0.01256551
0.0 0.0 0.0 0.0 0.01251314
0.0 0.0 0.0 0.0 0.01252686
0.0 0.0 0.0 0.0 0.01250799
0.0 0.0 0.0 0.0 0.01250990
0.0 0.0 0.0 0.0 0.01254879
0.0 0.0 0.0 0.0 0.01251402
0.0 0.0 0.0 0.0 0.01252745
0.0 0.0 0.0 0.0 0.01261403
0.0 0.0 0.0 0.0 0.01250256
0.0 0.0 0.0 0.0 0.01261791
0.0 0.0 0.0 0.0 0.01256329
0.0 0.0 0.0 0.0 0.01252810
0.0 0.0 0.0 0.0 0.01258899
0.0 0.0 0.0 0.0 0.01253109
0.0 0.0 0.0 0.0 0.01253897
0.0 0.0 0.0 0.0 0.01260895
0.0 0.25 0.0 0.0 0.01253477
0.0 0.25 0.0 0.0 0.01250910
0.0 0.25 0.0 0.0 0.01248261
0.0 0.25 0.0 0.0 0.01256189
0.0 0.0 0.0 0.0 0.01255487
0.0 0.0 0.0 0.0 0.01256298
0.0 0.0 0.0 0.0 0.01254535
0.0 0.0 0.0 0.0 0.01254955
0.0 0.0 0.0 0.0 0.01246525
0.0 0.0 0.0 0.0 0.01256079
0.0 0.0 0.0 0.0 0.01251584
0.0 0.0 0.0 0.0 0.01260735
0.0 0.0 0.0 0.0 0.01258964
0.0 0.0 0.0 0.0 0.01259307
0.0 0.0 0.0 0.0 0.01258845
0.0 0.0 0.0 0.0 0.01254798
0.0 0.0 0.0 0.0 0.01250275
0.0 0.0 0.0 0.0 0.01251676
0.0 0.0 0.0 0.0 0.01250669
0.0 0.0 0.0 0.0 0.01250376
0.0 0.25 0.0 0.0 0.01249524
0.0 0.25 0.0 0.0 0.01249629
0.0 0.25 0.0 0.0 0.01246888
0.0 0.25 0.0 0.0 0.01250233
0.0 0.0 0.0 0.0 0.01249335
0.0 0.0 0.25 0.0 0.01256310
0.0 0.0 0.25 0.0 0.01247969
0.0 0.0 0.25 0.0 0.01250420
0.0 0.0 0.25 0.0 0.01253293
0.0 0.0 0.0 0.0 0.01255535
0.0 0.0 0.25 0.0 0.01258178
0.0 0.0 0.25 0.0 0.01255567
0.0 0.0 0.25 0.0 0.01251410
0.0 0.0 0.25 0.0 0.01254967
0.0 0.0 0.0 0.0 0.01258141
0.0 0.0 0.25 0.0 0.01255946
0.0 0.0 0.25 0.0 0.01251765
0.0 0.0 0.25 0.0 0.01256581
0.0 0.0 0.25 0.0 0.01259075
0.0 0.0 0.0 0.0 0.01257113
0.0 0.0 0.0 0.8 0.01256291
0.0 0.0 0.0 0.0 0.01291437
0.0 0.0 0.0 0.0 0.01249690
0.0 0.0 0.0 0.0 0.01251382
0.0 0.0 0.0 0.0 0.01256253
0.0 0.0 0.0 0.0 0.01250084
0.0 0.0 0.0 0.0 0.01257901
0.0 0.0 0.0 0.0 0.01258447
0.0 0.0 0.0 0.0 0.01252988
0.0 0.0 0.0 0.0 0.01252409
0.0 0.0 0.0 0.0 0.01253671
0.0 0.0 0.0 0.0 0.01251812
0.0 0.0 0.0 0.0 0.01259050
0.0 0.0 0.0 0.0 0.01253357
0.0 0.0 0.0 0.0 0.01260776
0.0 0.0 0.0 0.0 0.01259934
0.0 0.0 0.0 0.0 0.01256837
0.0 0.0 0.0 0.0 0.01262482
0.0 0.0 0.0 0.0 0.01252943
0.0 0.0 0.0 0.0 0.01247666
0.0 0.0 0.0 0.0 0.01253471
0.0 0.0 0.0 0.0 0.01252981
0.0 0.0 0.0 0.0 0.01255922
0.0 0.0 0.0 0.0 0.01261061
0.0 0.0 0.0 0.0 0.01258725
0.0 0.0 0.0 0.0 0.01258371
0.0 0.0 0.0 0.0 0.01255630
0.0 0.0 0.0 0.0 0.01256289
0.0 0.0 0.0 0.0 0.01256442
0.0 0.0 0.0 0.0 0.01260148
0.0 0.0 0.0 0.0 0.01254215
0.0 0.0 0.0 0.0 0.01259407
0.0 0.0 0.0 0.0 0.01257000
0.0 0.0 0.0 0.0 0.01256300
0.0 0.0 0.0 0.0 0.01256780
0.0 0.0 0.0 0.0 0.01260707
0.0 0.0 0.0 0.0 0.01261034
0.0 0.0 0.0 0.0 0.01260426
0.0 0.0 0.0 0.0 0.01262437
0.0 0.0 0.0 0.0 0.01274650
0.0 0.0 0.0 0.0 0.01259670
0.0 0.0 0.0 0.0 0.01260297
0.0 0.0 0.0 0.0 0.01252219
0.0 0.0 0.0 0.0 0.01252378
0.0 0.0 0.0 0.0 0.01252040
0.0 0.0 0.0 0.0 0.01254923
0.0 0.0 0.0 0.0 0.01257920
0.0 0.0 0.0 0.0 0.01254131
0.0 0.0 0.0 0.0 0.01257168
0.0 0.0 0.0 0.0 0.01259450
