checking_status duration credit_history purpose credit_amount savings_status employment installment_commitment personal_status other_parties residence_since property_magnitude age other_payment_plans housing existing_credits job num_dependents own_telephone foreign_worker Runtime
(1.0, 0.5) (1.0, 0.6666666666666667) (0.3333333333333333, 0.6) (0.5, 0.8) (0.5, 0.75) (0.5, 0.6) (0.5, 0.8) (0.3333333333333333, 0.75) (0.5, 0.5) (0.5, 0.6666666666666667) (0.5, 0.75) (0.5, 0.5) (1.0, 0.25) (0.5, 0.6666666666666667) (0.3333333333333333, 0.6666666666666667) (0.5, 0.25) (0.5, 0.75) (0.5, 0.5) (0.5, 0.5) (0.5, 0.5) 41.47729768
(1.0, 0.75) (0.5, 0.6666666666666667) (0.3333333333333333, 0.4) (0.5, 0.6) (0.5, 0.75) (0.5, 0.8) (0.5, 0.4) (0.5, 0.75) (0.3333333333333333, 0.75) (0.5, 0.33333333333333337) (0.5, 0.25) (0.5, 0.25) (0.3333333333333333, 0.75) (0.5, 0.33333333333333337) (0.3333333333333333, 0.6666666666666667) (0.5, 0.75) (0.5, 0.75) (0.5, 0.5) (0.3333333333333333, 0.5) (0.5, 0.5) 68.58425490
(1.0, 0.25) (0.5, 0.33333333333333337) (0.5, 0.4) (0.5, 0.4) (0.5, 0.5) (0.5, 0.8) (0.3333333333333333, 0.4) (0.5, 0.25) (0.3333333333333333, 0.5) (0.3333333333333333, 0.6666666666666667) (0.3333333333333333, 0.5) (0.3333333333333333, 0.75) (0.3333333333333333, 0.75) (0.3333333333333333, 0.33333333333333337) (0.5, 0.6666666666666667) (0.3333333333333333, 0.5) (0.5, 0.25) (0.3333333333333333, 0.5) (0.3333333333333333, 0.5) (0.5, 0.5) 129.02558959
(0.5, 0.75) (1.0, 0.33333333333333337) (0.5, 0.19999999999999996) (0.5, 0.5) (1.0, 0.25) (1.0, 0.8) (0.5, 0.6) (0.5, 0.5) (0.5, 0.75) (0.5, 0.33333333333333337) (0.5, 0.5) (0.5, 0.75) (0.5, 0.5) (0.5, 0.6666666666666667) (0.3333333333333333, 0.6666666666666667) (0.5, 0.5) (0.5, 0.75) (0.5, 0.5) (0.5, 0.5) (0.3333333333333333, 0.5) 34.09122491
(0.5, 0.75) (0.5, 0.6666666666666667) (0.5, 0.8) (0.5, 0.9) (0.5, 0.75) (0.5, 0.8) (0.5, 0.4) (0.5, 0.25) (0.5, 0.5) (0.5, 0.33333333333333337) (0.5, 0.25) (0.5, 0.5) (0.5, 0.75) (0.5, 0.6666666666666667) (0.3333333333333333, 0.6666666666666667) (0.5, 0.5) (0.5, 0.75) (0.3333333333333333, 0.5) (0.5, 0.5) (0.5, 0.5) 40.03953657
(1.0, 0.25) (0.5, 0.6666666666666667) (0.5, 0.4) (0.3333333333333333, 0.09999999999999998) (0.5, 0.5) (0.5, 0.8) (0.5, 0.19999999999999996) (0.5, 0.5) (0.3333333333333333, 0.75) (0.5, 0.33333333333333337) (0.3333333333333333, 0.75) (0.5, 0.25) (0.5, 0.25) (0.5, 0.33333333333333337) (0.5, 0.33333333333333337) (0.3333333333333333, 0.75) (0.5, 0.5) (0.3333333333333333, 0.5) (0.3333333333333333, 0.5) (0.3333333333333333, 0.5) 94.02565616
(1.0, 0.75) (1.0, 0.6666666666666667) (1.0, 0.19999999999999996) (0.3333333333333333, 0.30000000000000004) (1.0, 0.75) (1.0, 0.8) (1.0, 0.6) (1.0, 0.75) (0.3333333333333333, 0.75) (1.0, 0.33333333333333337) (0.3333333333333333, 0.75) (1.0, 0.25) (1.0, 0.75) (1.0, 0.33333333333333337) (0.3333333333333333, 0.33333333333333337) (1.0, 0.5) (1.0, 0.75) (0.25, 0.5) (1.0, 0.5) (1.0, 0.5) 193.86674415
(1.0, 0.25) (1.0, 0.33333333333333337) (0.5, 0.4) (0.5, 0.30000000000000004) (0.5, 0.75) (1.0, 0.6) (0.5, 0.8) (0.5, 0.25) (1.0, 0.25) (0.5, 0.33333333333333337) (0.5, 0.25) (0.5, 0.25) (0.5, 0.75) (0.5, 0.33333333333333337) (0.5, 0.6666666666666667) (0.5, 0.75) (0.5, 0.5) (0.5, 0.5) (0.5, 0.5) (0.3333333333333333, 0.5) 24.24894654
(0.5, 0.75) (0.5, 0.6666666666666667) (0.5, 0.6) (0.5, 0.9) (0.5, 0.75) (1.0, 0.19999999999999996) (0.5, 0.8) (0.3333333333333333, 0.75) (0.5, 0.75) (0.5, 0.6666666666666667) (0.5, 0.25) (0.5, 0.25) (0.5, 0.75) (0.5, 0.33333333333333337) (0.3333333333333333, 0.6666666666666667) (0.5, 0.75) (0.5, 0.5) (0.5, 0.5) (0.5, 0.5) (0.5, 0.5) 37.87735882
(1.0, 0.5) (1.0, 0.6666666666666667) (0.5, 0.19999999999999996) (1.0, 0.19999999999999996) (1.0, 0.25) (1.0, 0.6) (0.5, 0.8) (0.5, 0.75) (1.0, 0.25) (0.5, 0.33333333333333337) (0.5, 0.5) (0.5, 0.75) (0.5, 0.75) (0.3333333333333333, 0.6666666666666667) (0.5, 0.6666666666666667) (0.5, 0.5) (0.5, 0.75) (0.5, 0.5) (0.5, 0.5) (0.5, 0.5) 3.14850687
