checking_status duration credit_history purpose credit_amount savings_status employment installment_commitment personal_status other_parties residence_since property_magnitude age other_payment_plans housing existing_credits job num_dependents own_telephone foreign_worker Runtime
(1.0, 0.25) (1.0, 0.6666666666666667) (0.5, 0.19999999999999996) (0.5, 0.8) (0.5, 0.75) (1.0, 0.6) (0.5, 0.8) (0.5, 0.75) (0.3333333333333333, 0.5) (0.5, 0.6666666666666667) (0.5, 0.75) (0.5, 0.75) (0.5, 0.5) (0.5, 0.33333333333333337) (0.5, 0.6666666666666667) (0.5, 0.25) (0.5, 0.75) (0.5, 0.5) (0.5, 0.5) (0.5, 0.5) 21.86616251
(1.0, 0.25) (0.5, 0.6666666666666667) (0.3333333333333333, 0.8) (0.5, 0.5) (0.5, 0.75) (0.5, 0.8) (0.3333333333333333, 0.8) (0.5, 0.5) (0.3333333333333333, 0.75) (0.5, 0.33333333333333337) (0.5, 0.25) (0.5, 0.25) (0.3333333333333333, 0.75) (0.5, 0.33333333333333337) (0.3333333333333333, 0.6666666666666667) (0.3333333333333333, 0.75) (0.5, 0.5) (0.3333333333333333, 0.5) (0.3333333333333333, 0.5) (0.5, 0.5) 105.40947825
(1.0, 0.75) (1.0, 0.33333333333333337) (0.5, 0.19999999999999996) (0.5, 0.6) (0.5, 0.75) (1.0, 0.8) (0.5, 0.19999999999999996) (0.5, 0.25) (0.5, 0.5) (1.0, 0.33333333333333337) (0.3333333333333333, 0.5) (0.5, 0.75) (0.5, 0.5) (0.3333333333333333, 0.6666666666666667) (0.3333333333333333, 0.6666666666666667) (0.5, 0.25) (1.0, 0.75) (0.5, 0.5) (0.5, 0.5) (1.0, 0.5) 35.78406596
(1.0, 0.5) (1.0, 0.6666666666666667) (1.0, 0.8) (0.5, 0.5) (1.0, 0.75) (1.0, 0.8) (0.3333333333333333, 0.8) (0.3333333333333333, 0.75) (0.5, 0.25) (1.0, 0.33333333333333337) (1.0, 0.25) (0.5, 0.25) (1.0, 0.25) (0.5, 0.33333333333333337) (1.0, 0.33333333333333337) (0.5, 0.5) (1.0, 0.25) (0.5, 0.5) (0.5, 0.5) (0.3333333333333333, 0.5) 27.69282995
(1.0, 0.75) (1.0, 0.6666666666666667) (0.3333333333333333, 0.19999999999999996) (0.3333333333333333, 0.19999999999999996) (1.0, 0.75) (1.0, 0.8) (1.0, 0.19999999999999996) (1.0, 0.5) (0.3333333333333333, 0.75) (1.0, 0.33333333333333337) (0.5, 0.25) (1.0, 0.25) (1.0, 0.25) (0.3333333333333333, 0.6666666666666667) (0.3333333333333333, 0.33333333333333337) (0.3333333333333333, 0.75) (1.0, 0.75) (1.0, 0.5) (0.3333333333333333, 0.5) (1.0, 0.5) 49.80371238
(1.0, 0.75) (1.0, 0.33333333333333337) (0.5, 0.4) (1.0, 0.09999999999999998) (0.5, 0.25) (1.0, 0.6) (0.5, 0.4) (0.3333333333333333, 0.5) (1.0, 0.25) (0.3333333333333333, 0.6666666666666667) (0.5, 0.75) (0.5, 0.75) (1.0, 0.25) (1.0, 0.33333333333333337) (1.0, 0.6666666666666667) (0.5, 0.25) (1.0, 0.75) (0.5, 0.5) (0.5, 0.5) (0.3333333333333333, 0.5) 27.71081519
(1.0, 0.5) (0.5, 0.33333333333333337) (0.5, 0.19999999999999996) (0.5, 0.7) (0.5, 0.25) (0.5, 0.8) (0.5, 0.4) (0.5, 0.5) (0.5, 0.25) (0.5, 0.33333333333333337) (0.5, 0.25) (0.3333333333333333, 0.75) (0.3333333333333333, 0.75) (0.3333333333333333, 0.6666666666666667) (0.5, 0.33333333333333337) (0.3333333333333333, 0.75) (0.5, 0.75) (0.3333333333333333, 0.5) (0.3333333333333333, 0.5) (0.5, 0.5) 82.08982112
(0.5, 0.75) (1.0, 0.33333333333333337) (0.5, 0.6) (0.5, 0.9) (0.5, 0.75) (0.5, 0.6) (0.5, 0.19999999999999996) (0.3333333333333333, 0.5) (0.5, 0.25) (0.5, 0.33333333333333337) (0.5, 0.5) (0.5, 0.5) (0.5, 0.25) (0.3333333333333333, 0.6666666666666667) (0.5, 0.6666666666666667) (0.5, 0.25) (0.5, 0.25) (0.5, 0.5) (0.5, 0.5) (0.3333333333333333, 0.5) 51.51387813
(1.0, 0.5) (0.5, 0.6666666666666667) (0.5, 0.19999999999999996) (0.5, 0.7) (0.5, 0.75) (0.5, 0.6) (0.5, 0.6) (0.5, 0.75) (0.5, 0.25) (0.5, 0.6666666666666667) (0.5, 0.5) (0.5, 0.25) (0.5, 0.5) (0.5, 0.33333333333333337) (0.5, 0.33333333333333337) (0.5, 0.75) (0.5, 0.75) (0.5, 0.5) (0.5, 0.5) (0.5, 0.5) 9.97513071
(1.0, 0.75) (0.3333333333333333, 0.33333333333333337) (1.0, 0.4) (1.0, 0.30000000000000004) (1.0, 0.75) (1.0, 0.4) (0.5, 0.4) (1.0, 0.75) (0.5, 0.75) (1.0, 0.6666666666666667) (0.5, 0.25) (1.0, 0.25) (0.5, 0.5) (0.5, 0.6666666666666667) (1.0, 0.33333333333333337) (0.5, 0.75) (1.0, 0.75) (0.3333333333333333, 0.5) (1.0, 0.5) (1.0, 0.5) 18.13359012
(1.0, 0.25) (1.0, 0.33333333333333337) (0.5, 0.6) (1.0, 0.09999999999999998) (1.0, 0.25) (1.0, 0.6) (0.5, 0.8) (0.5, 0.5) (0.3333333333333333, 0.75) (0.5, 0.33333333333333337) (0.5, 0.75) (0.5, 0.5) (0.5, 0.75) (0.5, 0.6666666666666667) (0.5, 0.33333333333333337) (0.5, 0.75) (0.5, 0.75) (0.3333333333333333, 0.5) (0.5, 0.5) (0.5, 0.5) 29.59774612
(0.5, 0.75) (0.5, 0.6666666666666667) (0.5, 0.6) (0.5, 0.8) (0.5, 0.75) (1.0, 0.19999999999999996) (0.5, 0.4) (0.5, 0.75) (0.5, 0.75) (0.5, 0.33333333333333337) (0.5, 0.25) (0.5, 0.5) (0.5, 0.25) (0.5, 0.6666666666666667) (0.3333333333333333, 0.6666666666666667) (0.5, 0.25) (0.5, 0.75) (0.5, 0.5) (0.5, 0.5) (0.5, 0.5) 28.34829496
(1.0, 0.75) (0.5, 0.6666666666666667) (0.5, 0.19999999999999996) (0.3333333333333333, 0.19999999999999996) (0.5, 0.75) (1.0, 0.19999999999999996) (0.3333333333333333, 0.6) (1.0, 0.25) (0.5, 0.25) (0.5, 0.33333333333333337) (0.3333333333333333, 0.75) (0.5, 0.75) (0.3333333333333333, 0.75) (0.5, 0.6666666666666667) (0.5, 0.6666666666666667) (0.5, 0.5) (1.0, 0.25) (0.3333333333333333, 0.5) (0.5, 0.5) (0.5, 0.5) 58.06916227
(1.0, 0.25) (1.0, 0.6666666666666667) (0.5, 0.4) (1.0, 0.09999999999999998) (0.5, 0.75) (1.0, 0.6) (0.5, 0.6) (0.3333333333333333, 0.75) (0.3333333333333333, 0.5) (0.5, 0.33333333333333337) (0.5, 0.25) (0.5, 0.75) (0.5, 0.25) (0.5, 0.33333333333333337) (0.5, 0.6666666666666667) (0.3333333333333333, 0.5) (0.5, 0.5) (0.3333333333333333, 0.5) (0.5, 0.5) (0.5, 0.5) 50.43353188
(1.0, 0.25) (1.0, 0.33333333333333337) (1.0, 0.19999999999999996) (1.0, 0.09999999999999998) (0.5, 0.5) (1.0, 0.19999999999999996) (0.5, 0.4) (0.3333333333333333, 0.5) (0.3333333333333333, 0.75) (0.5, 0.33333333333333337) (0.3333333333333333, 0.75) (0.5, 0.25) (0.5, 0.75) (0.5, 0.6666666666666667) (0.5, 0.6666666666666667) (0.5, 0.5) (0.5, 0.25) (0.5, 0.5) (0.5, 0.5) (0.5, 0.5) 41.67123533
(0.5, 0.75) (0.5, 0.6666666666666667) (0.5, 0.19999999999999996) (0.5, 0.9) (0.5, 0.75) (0.5, 0.8) (0.5, 0.19999999999999996) (0.5, 0.75) (0.3333333333333333, 0.75) (0.5, 0.6666666666666667) (0.5, 0.25) (0.5, 0.75) (0.5, 0.25) (0.3333333333333333, 0.6666666666666667) (0.5, 0.6666666666666667) (0.3333333333333333, 0.75) (0.3333333333333333, 0.75) (0.3333333333333333, 0.5) (0.3333333333333333, 0.5) (0.5, 0.5) 87.91362550
