Recency Frequency Monetary Time Runtime
(0.25, 0.22593582887700536) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.10971983
(0.3333333333333333, 0.22593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.625668449197861) 0.21340884
(0.25, 0.22593582887700536) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.06754339
(0.25, 0.22593582887700536) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.06735497
(0.25, 0.22593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.625668449197861) 0.12357895
(0.25, 0.22593582887700536) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.08879599
(0.3333333333333333, 0.22593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.625668449197861) 0.11928438
(0.25, 0.22593582887700536) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.06773883
(0.25, 0.22593582887700536) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.06764646
(0.25, 0.22593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.625668449197861) 0.08133166
(0.25, 0.22593582887700536) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.08879691
(0.3333333333333333, 0.22593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.625668449197861) 0.11936069
(0.25, 0.22593582887700536) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.06793881
(0.25, 0.22593582887700536) (0.5, 0.22994652406417115) (0.5, 0.22994652406417115) (0.0, 0.0) 0.06788145
(0.25, 0.22593582887700536) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.22994652406417115) (0.3333333333333333, 0.625668449197861) 0.08162962
(0.3333333333333333, 0.22593582887700536) (1.0, 0.22994652406417115) (0.0, 0.0) (0.0, 0.0) 0.06943033
(0.5, 0.22593582887700536) (0.5, 0.22994652406417115) (0.0, 0.0) (0.5, 0.625668449197861) 0.05532904
(0.3333333333333333, 0.22593582887700536) (1.0, 0.22994652406417115) (0.0, 0.0) (0.0, 0.0) 0.06947572
(0.3333333333333333, 0.22593582887700536) (1.0, 0.22994652406417115) (0.0, 0.0) (0.0, 0.0) 0.06962648
(0.3333333333333333, 0.22593582887700536) (0.5, 0.22994652406417115) (0.0, 0.0) (0.5, 0.625668449197861) 0.06413578
(0.3333333333333333, 0.22593582887700536) (0.0, 0.0) (1.0, 0.22994652406417115) (0.0, 0.0) 0.31360800
(0.5, 0.22593582887700536) (0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.625668449197861) 0.05548966
(0.3333333333333333, 0.22593582887700536) (0.0, 0.0) (1.0, 0.22994652406417115) (0.0, 0.0) 0.06971021
(0.3333333333333333, 0.22593582887700536) (0.0, 0.0) (1.0, 0.22994652406417115) (0.0, 0.0) 0.06979115
(0.3333333333333333, 0.22593582887700536) (0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.625668449197861) 0.06425955
(0.3333333333333333, 0.22593582887700536) (0.0, 0.0) (1.0, 0.22994652406417115) (0.0, 0.0) 0.06952117
(0.5, 0.22593582887700536) (0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.625668449197861) 0.05541600
(0.3333333333333333, 0.22593582887700536) (0.0, 0.0) (1.0, 0.22994652406417115) (0.0, 0.0) 0.06968818
(0.3333333333333333, 0.22593582887700536) (0.0, 0.0) (1.0, 0.22994652406417115) (0.0, 0.0) 0.06973191
(0.3333333333333333, 0.22593582887700536) (0.0, 0.0) (0.5, 0.22994652406417115) (0.5, 0.625668449197861) 0.06433448
(0.3333333333333333, 0.22593582887700536) (0.0, 0.0) (1.0, 0.22994652406417115) (0.0, 0.0) 0.06982242
