 Recency Frequency Monetary Time Recency_Frequency Recency_Monetary Recency_Time Frequency_Monetary Frequency_Time Monetary_Time Recency_Frequency_Monetary Recency_Frequency_Time Recency_Monetary_Time Frequency_Monetary_Time Recency_Frequency_Monetary_Time Runtime
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.05287540392919443 0.0 0.0 0.025165299196247548 0.0 0.0 0.03308247197708958 0.017885272840258093 0.05898093
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.011946448213948968 0.0 0.0 0.03308247197708958 0.017885272840258093 0.05780174
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.05287540392919443 0.0 0.0 0.025165299196247548 0.0 0.0 0.03308247197708958 0.017885272840258093 0.05796329
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.05287540392919443 0.0 0.0 0.025165299196247548 0.0 0.0 0.03308247197708958 0.017885272840258093 0.05789725
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.03308247197708958 0.017885272840258093 0.05797458
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.05287540392919443 0.0 0.0 0.025165299196247548 0.0 0.0 0.03308247197708958 0.017885272840258093 0.05788999
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.011946448213948968 0.0 0.0 0.03308247197708958 0.017885272840258093 0.05790345
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.05287540392919443 0.0 0.0 0.025165299196247548 0.0 0.0 0.03308247197708958 0.017885272840258093 0.05765799
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.05287540392919443 0.0 0.0 0.025165299196247548 0.0 0.0 0.03308247197708958 0.017885272840258093 0.05801117
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.03308247197708958 0.017885272840258093 0.05787100
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.05287540392919443 0.0 0.0 0.025165299196247548 0.0 0.0 0.03308247197708958 0.017885272840258093 0.05786661
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.011946448213948968 0.0 0.0 0.03308247197708958 0.017885272840258093 0.05788962
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.05287540392919443 0.0 0.0 0.025165299196247548 0.0 0.0 0.03308247197708958 0.017885272840258093 0.05800194
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.05287540392919443 0.0 0.0 0.025165299196247548 0.0 0.0 0.03308247197708958 0.017885272840258093 0.05776140
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.03308247197708958 0.017885272840258093 0.05795974
0.0 0.0 0.22994652406417115 0.0 0.0 0.10943978952786748 0.0 0.0 0.05287540392919443 0.1438702851096686 0.0 0.025165299196247548 0.07778014002623868 0.0 0.03308247197708958 0.017885272840258093 0.05784873
0.0 0.0 0.0 0.0 0.0 0.05195315851182469 0.0 0.0 0.0 0.1438702851096686 0.0 0.011946448213948968 0.07778014002623868 0.0 0.03308247197708958 0.017885272840258093 0.05817855
0.0 0.0 0.22994652406417115 0.0 0.0 0.10943978952786748 0.0 0.0 0.05287540392919443 0.1438702851096686 0.0 0.025165299196247548 0.07778014002623868 0.0 0.03308247197708958 0.017885272840258093 0.05792426
0.0 0.0 0.22994652406417115 0.0 0.0 0.10943978952786748 0.0 0.0 0.05287540392919443 0.1438702851096686 0.0 0.025165299196247548 0.07778014002623868 0.0 0.03308247197708958 0.017885272840258093 0.05797248
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.1438702851096686 0.0 0.0 0.07778014002623868 0.0 0.03308247197708958 0.017885272840258093 0.05782542
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.05287540392919443 0.0 0.0 0.025165299196247548 0.0 0.0 0.03308247197708958 0.017885272840258093 0.05800838
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.011946448213948968 0.0 0.0 0.03308247197708958 0.017885272840258093 0.05811776
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.05287540392919443 0.0 0.0 0.025165299196247548 0.0 0.0 0.03308247197708958 0.017885272840258093 0.05783942
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.05287540392919443 0.0 0.0 0.025165299196247548 0.0 0.0 0.03308247197708958 0.017885272840258093 0.05781545
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.03308247197708958 0.017885272840258093 0.05803611
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.05287540392919443 0.0 0.0 0.025165299196247548 0.0 0.0 0.03308247197708958 0.017885272840258093 0.05772982
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.011946448213948968 0.0 0.0 0.03308247197708958 0.017885272840258093 0.05775860
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.05287540392919443 0.0 0.0 0.025165299196247548 0.0 0.0 0.03308247197708958 0.017885272840258093 0.05767559
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.05287540392919443 0.0 0.0 0.025165299196247548 0.0 0.0 0.03308247197708958 0.017885272840258093 0.05752510
