checking_status duration credit_history purpose credit_amount savings_status employment installment_commitment personal_status other_parties residence_since property_magnitude age other_payment_plans housing existing_credits job num_dependents own_telephone foreign_worker Runtime
(0.5, 0.731) (0.5, 0.77) (0.5, 0.42999999999999994) (0.5, 0.585) (0.5, 0.25) (0.5, 0.897) (0.5, 0.6609999999999999) (0.5, 0.612) (0.5, 0.6900000000000001) (0.5, 0.959) (0.5, 0.13000000000000012) (0.5, 0.43599999999999994) (0.5, 0.7090000000000001) (0.5, 0.139) (0.5, 0.821) (0.5, 0.361) (0.5, 0.37) (0.5, 0.15500000000000003) (0.5, 0.404) (0.3333333333333333, 0.03700000000000003) 30.26803163
(1.0, 0.726) (1.0, 0.359) (0.5, 0.823) (0.5, 0.474) (0.5, 0.751) (1.0, 0.04800000000000004) (0.5, 0.4869999999999999) (0.5, 0.367) (0.5, 0.09200000000000008) (0.5, 0.09299999999999997) (0.5, 0.692) (0.5, 0.28200000000000003) (0.5, 0.7090000000000001) (0.5, 0.861) (0.3333333333333333, 0.28700000000000003) (0.5, 0.03400000000000003) (0.5, 0.37) (0.3333333333333333, 0.845) (0.3333333333333333, 0.596) (0.5, 0.03700000000000003) 45.25382325
(1.0, 0.45699999999999996) (1.0, 0.359) (1.0, 0.381) (1.0, 0.33699999999999997) (1.0, 0.25) (1.0, 0.397) (0.5, 0.31499999999999984) (0.5, 0.136) (0.5, 0.5480000000000002) (0.25, 0.948) (0.5, 0.41300000000000003) (0.5, 0.5640000000000001) (0.5, 0.484) (0.5, 0.139) (0.5, 0.28700000000000003) (0.5, 0.633) (0.5, 0.37) (1.0, 0.15500000000000003) (0.3333333333333333, 0.404) (0.3333333333333333, 0.03700000000000003) 206.82775491
(1.0, 0.3939999999999999) (1.0, 0.359) (1.0, 0.08800000000000008) (1.0, 0.688) (1.0, 0.5) (1.0, 0.397) (0.5, 0.6609999999999999) (0.3333333333333333, 0.769) (0.5, 0.6400000000000001) (0.5, 0.051999999999999935) (0.3333333333333333, 0.87) (0.5, 0.6679999999999999) (0.5, 0.484) (0.5, 0.139) (0.5, 0.28700000000000003) (0.5, 0.633) (0.5, 0.22199999999999998) (0.5, 0.15500000000000003) (0.5, 0.404) (0.3333333333333333, 0.03700000000000003) 33.93800894
(1.0, 0.726) (1.0, 0.77) (0.25, 0.6180000000000001) (0.3333333333333333, 0.704) (1.0, 0.501) (1.0, 0.2310000000000001) (0.5, 0.4079999999999998) (1.0, 0.23099999999999998) (0.5, 0.050000000000000155) (0.5, 0.051999999999999935) (0.5, 0.13000000000000012) (1.0, 0.28200000000000003) (0.5, 0.474) (0.3333333333333333, 0.139) (0.5, 0.7130000000000001) (0.5, 0.03400000000000003) (1.0, 0.1479999999999999) (0.5, 0.15500000000000003) (0.3333333333333333, 0.596) (0.5, 0.03700000000000003) 188.21461825
(1.0, 0.731) (1.0, 0.77) (1.0, 0.381) (1.0, 0.11199999999999988) (1.0, 0.751) (1.0, 0.397) (0.5, 0.253) (0.5, 0.524) (1.0, 0.31000000000000005) (1.0, 0.051999999999999935) (1.0, 0.13000000000000012) (1.0, 0.846) (1.0, 0.45999999999999996) (0.5, 0.139) (0.5, 0.28700000000000003) (1.0, 0.361) (0.5, 0.22199999999999998) (0.5, 0.15500000000000003) (0.5, 0.596) (0.3333333333333333, 0.03700000000000003) 14.10643983
(0.5, 0.3939999999999999) (0.5, 0.77) (0.5, 0.911) (0.5, 0.3919999999999999) (0.5, 0.751) (1.0, 0.18300000000000005) (0.5, 0.17399999999999993) (0.5, 0.367) (0.5, 0.6400000000000001) (0.5, 0.051999999999999935) (0.5, 0.13000000000000012) (0.5, 0.846) (0.5, 0.249) (0.5, 0.139) (0.5, 0.821) (0.3333333333333333, 0.361) (0.3333333333333333, 0.37) (0.5, 0.15500000000000003) (0.3333333333333333, 0.404) (0.5, 0.03700000000000003) 51.81525041
(0.5, 0.45699999999999996) (0.5, 0.77) (1.0, 0.2929999999999999) (0.5, 0.488) (0.5, 0.751) (0.5, 0.2310000000000001) (0.5, 0.42699999999999994) (0.3333333333333333, 0.524) (0.5, 0.6400000000000001) (0.3333333333333333, 0.09299999999999997) (0.3333333333333333, 0.587) (0.5, 0.28200000000000003) (0.5, 0.7090000000000001) (0.3333333333333333, 0.18600000000000005) (0.5, 0.7130000000000001) (0.3333333333333333, 0.633) (0.3333333333333333, 0.8) (0.3333333333333333, 0.15500000000000003) (0.3333333333333333, 0.404) (0.3333333333333333, 0.03700000000000003) 119.86992185
(1.0, 0.726) (1.0, 0.359) (0.3333333333333333, 0.53) (1.0, 0.383) (0.5, 0.75) (1.0, 0.04800000000000004) (1.0, 0.06199999999999983) (1.0, 0.136) (0.5, 0.6900000000000001) (0.5, 0.051999999999999935) (0.5, 0.587) (1.0, 0.5640000000000001) (1.0, 0.484) (0.5, 0.04700000000000004) (1.0, 0.7130000000000001) (0.5, 0.667) (1.0, 0.37) (0.5, 0.15500000000000003) (0.5, 0.404) (1.0, 0.03700000000000003) 13.45134743
(1.0, 0.3939999999999999) (1.0, 0.77) (0.5, 0.2929999999999999) (0.5, 0.769) (0.5, 0.751) (1.0, 0.29400000000000004) (0.5, 0.7469999999999999) (0.5, 0.524) (0.3333333333333333, 0.402) (0.5, 0.09299999999999997) (0.5, 0.587) (0.5, 0.846) (0.5, 0.474) (0.5, 0.139) (0.5, 0.892) (0.5, 0.028000000000000025) (0.5, 0.37) (0.5, 0.15500000000000003) (0.5, 0.404) (0.5, 0.03700000000000003) 22.10039896
(1.0, 0.3939999999999999) (0.5, 0.77) (0.3333333333333333, 0.7070000000000001) (0.5, 0.5009999999999999) (0.5, 0.751) (0.5, 0.397) (0.3333333333333333, 0.6609999999999999) (0.5, 0.367) (0.3333333333333333, 0.45200000000000007) (0.5, 0.051999999999999935) (0.5, 0.13000000000000012) (0.5, 0.28200000000000003) (0.3333333333333333, 0.7090000000000001) (0.5, 0.8140000000000001) (0.3333333333333333, 0.28700000000000003) (0.3333333333333333, 0.367) (0.5, 0.16999999999999993) (0.3333333333333333, 0.15500000000000003) (0.3333333333333333, 0.596) (0.5, 0.03700000000000003) 106.99935535
(1.0, 0.726) (1.0, 0.359) (0.5, 0.2929999999999999) (0.5, 0.6819999999999999) (0.5, 0.751) (1.0, 0.397) (0.5, 0.06199999999999983) (0.5, 0.136) (0.5, 0.3600000000000001) (1.0, 0.051999999999999935) (0.3333333333333333, 0.4570000000000001) (0.5, 0.6679999999999999) (0.5, 0.484) (0.3333333333333333, 0.18600000000000005) (0.3333333333333333, 0.28700000000000003) (0.5, 0.006000000000000005) (1.0, 0.37) (0.5, 0.15500000000000003) (0.5, 0.596) (1.0, 0.03700000000000003) 36.19592063
(1.0, 0.45699999999999996) (1.0, 0.77) (1.0, 0.951) (0.5, 0.42000000000000004) (1.0, 0.751) (1.0, 0.397) (0.3333333333333333, 0.938) (0.3333333333333333, 0.864) (0.5, 0.31000000000000005) (1.0, 0.051999999999999935) (1.0, 0.13000000000000012) (0.5, 0.23199999999999998) (1.0, 0.249) (0.5, 0.04700000000000004) (1.0, 0.7130000000000001) (0.5, 0.03400000000000003) (1.0, 0.02200000000000002) (0.5, 0.15500000000000003) (0.5, 0.596) (0.3333333333333333, 0.03700000000000003) 27.96980744
(1.0, 0.726) (1.0, 0.77) (0.3333333333333333, 0.53) (0.3333333333333333, 0.28) (1.0, 0.751) (1.0, 0.397) (1.0, 0.06199999999999983) (1.0, 0.367) (0.3333333333333333, 0.45200000000000007) (1.0, 0.051999999999999935) (0.5, 0.13000000000000012) (1.0, 0.28200000000000003) (1.0, 0.249) (0.3333333333333333, 0.18600000000000005) (0.3333333333333333, 0.17900000000000005) (0.3333333333333333, 0.667) (1.0, 0.37) (1.0, 0.15500000000000003) (0.3333333333333333, 0.596) (1.0, 0.03700000000000003) 50.31866598
(1.0, 0.726) (1.0, 0.359) (0.5, 0.6180000000000001) (1.0, 0.10299999999999998) (0.5, 0.251) (1.0, 0.29400000000000004) (0.5, 0.23599999999999988) (0.3333333333333333, 0.633) (1.0, 0.09200000000000008) (0.3333333333333333, 0.09299999999999997) (0.5, 0.587) (0.5, 0.718) (1.0, 0.249) (1.0, 0.8140000000000001) (1.0, 0.821) (0.5, 0.633) (1.0, 0.37) (0.5, 0.15500000000000003) (0.5, 0.596) (0.3333333333333333, 0.03700000000000003) 27.99497052
(1.0, 0.45699999999999996) (0.5, 0.359) (0.5, 0.2929999999999999) (0.5, 0.704) (0.5, 0.25) (0.5, 0.397) (0.5, 0.42699999999999994) (0.5, 0.367) (0.5, 0.050000000000000155) (0.5, 0.051999999999999935) (0.5, 0.13000000000000012) (0.3333333333333333, 0.6679999999999999) (0.3333333333333333, 0.7090000000000001) (0.3333333333333333, 0.18600000000000005) (0.5, 0.7130000000000001) (0.3333333333333333, 0.367) (0.5, 0.37) (0.3333333333333333, 0.15500000000000003) (0.3333333333333333, 0.596) (0.5, 0.03700000000000003) 84.47188744
(0.5, 0.726) (1.0, 0.359) (0.5, 0.911) (0.5, 0.903) (0.5, 0.751) (0.5, 0.29400000000000004) (0.5, 0.17399999999999993) (0.3333333333333333, 0.633) (0.5, 0.09200000000000008) (0.5, 0.051999999999999935) (0.5, 0.43800000000000006) (0.5, 0.514) (0.5, 0.249) (0.3333333333333333, 0.18600000000000005) (0.5, 0.821) (0.5, 0.633) (0.5, 0.1479999999999999) (0.5, 0.15500000000000003) (0.5, 0.404) (0.3333333333333333, 0.03700000000000003) 51.87431071
(1.0, 0.45699999999999996) (0.5, 0.77) (0.5, 0.2929999999999999) (0.5, 0.71) (0.5, 0.751) (0.5, 0.29400000000000004) (0.5, 0.6539999999999999) (0.5, 0.524) (0.5, 0.09200000000000008) (0.5, 0.09299999999999997) (0.5, 0.543) (0.5, 0.28200000000000003) (0.5, 0.54) (0.5, 0.139) (0.5, 0.1080000000000001) (0.5, 0.367) (0.5, 0.37) (0.5, 0.15500000000000003) (0.5, 0.404) (0.5, 0.03700000000000003) 10.03532569
(1.0, 0.726) (0.3333333333333333, 0.41100000000000003) (1.0, 0.381) (1.0, 0.48) (1.0, 0.749) (1.0, 0.11099999999999999) (0.5, 0.4009999999999999) (1.0, 0.524) (0.5, 0.6900000000000001) (1.0, 0.09299999999999997) (0.5, 0.13000000000000012) (1.0, 0.28200000000000003) (0.5, 0.484) (0.5, 0.18600000000000005) (1.0, 0.7130000000000001) (0.5, 0.367) (1.0, 0.37) (0.3333333333333333, 0.15500000000000003) (1.0, 0.404) (1.0, 0.03700000000000003) 18.20471610
(1.0, 0.3939999999999999) (1.0, 0.359) (0.5, 0.42999999999999994) (1.0, 0.10299999999999998) (1.0, 0.25) (1.0, 0.29400000000000004) (0.5, 0.6609999999999999) (0.5, 0.633) (0.3333333333333333, 0.45200000000000007) (0.5, 0.051999999999999935) (0.5, 0.692) (0.5, 0.514) (0.5, 0.7090000000000001) (0.5, 0.18600000000000005) (0.5, 0.17900000000000005) (0.5, 0.367) (0.5, 0.37) (0.3333333333333333, 0.15500000000000003) (0.5, 0.596) (0.5, 0.03700000000000003) 29.74737578
(0.5, 0.731) (0.5, 0.77) (0.5, 0.911) (0.5, 0.8069999999999999) (0.5, 0.751) (1.0, 0.18300000000000005) (0.5, 0.42699999999999994) (0.5, 0.864) (0.5, 0.6900000000000001) (0.5, 0.051999999999999935) (0.5, 0.13000000000000012) (0.5, 0.614) (0.5, 0.249) (0.5, 0.861) (0.3333333333333333, 0.28700000000000003) (0.5, 0.33299999999999996) (0.5, 0.852) (0.5, 0.15500000000000003) (0.5, 0.596) (0.5, 0.963) 28.57467792
(1.0, 0.726) (0.5, 0.77) (0.5, 0.2929999999999999) (0.3333333333333333, 0.377) (0.5, 0.751) (1.0, 0.18300000000000005) (0.3333333333333333, 0.4869999999999999) (1.0, 0.136) (0.5, 0.31000000000000005) (0.5, 0.051999999999999935) (0.3333333333333333, 0.587) (0.5, 0.846) (0.3333333333333333, 0.751) (0.5, 0.953) (0.5, 0.892) (0.5, 0.639) (1.0, 0.1479999999999999) (0.3333333333333333, 0.845) (0.5, 0.596) (0.5, 0.03700000000000003) 58.49537313
(1.0, 0.3939999999999999) (1.0, 0.77) (0.5, 0.381) (1.0, 0.10299999999999998) (0.5, 0.751) (1.0, 0.29400000000000004) (0.5, 0.4889999999999999) (0.3333333333333333, 0.524) (0.3333333333333333, 0.14200000000000013) (0.5, 0.051999999999999935) (0.5, 0.13000000000000012) (0.5, 0.846) (0.5, 0.22499999999999998) (0.5, 0.139) (0.5, 0.892) (0.3333333333333333, 0.361) (0.5, 0.22199999999999998) (0.3333333333333333, 0.15500000000000003) (0.5, 0.404) (0.5, 0.03700000000000003) 50.68732735
(1.0, 0.3939999999999999) (1.0, 0.359) (1.0, 0.2929999999999999) (1.0, 0.10299999999999998) (0.5, 0.5) (1.0, 0.18300000000000005) (0.5, 0.5129999999999999) (0.3333333333333333, 0.633) (0.3333333333333333, 0.6900000000000001) (0.5, 0.051999999999999935) (0.3333333333333333, 0.587) (0.5, 0.28200000000000003) (0.5, 0.775) (0.5, 0.18600000000000005) (0.5, 0.821) (0.5, 0.639) (0.5, 0.1479999999999999) (0.5, 0.15500000000000003) (0.5, 0.404) (0.5, 0.03700000000000003) 41.28467468
(0.5, 0.726) (0.5, 0.77) (0.5, 0.2929999999999999) (0.5, 0.903) (0.5, 0.751) (0.5, 0.397) (0.5, 0.17399999999999993) (0.5, 0.524) (0.3333333333333333, 0.45200000000000007) (0.5, 0.959) (0.5, 0.13000000000000012) (0.5, 0.846) (0.5, 0.235) (0.3333333333333333, 0.18600000000000005) (0.5, 0.821) (0.3333333333333333, 0.367) (0.3333333333333333, 0.37) (0.3333333333333333, 0.15500000000000003) (0.3333333333333333, 0.404) (0.5, 0.03700000000000003) 88.55973962
