checking_status duration credit_history purpose credit_amount savings_status employment installment_commitment personal_status other_parties residence_since property_magnitude age other_payment_plans housing existing_credits job num_dependents own_telephone foreign_worker Runtime
(0.5, 0.45699999999999996) (0.5, 0.77) (0.5, 0.96) (0.5, 0.891) (0.5, 0.751) (0.5, 0.2310000000000001) (0.5, 0.4889999999999999) (0.5, 0.843) (0.5, 0.14200000000000013) (0.3333333333333333, 0.051999999999999935) (0.5, 0.43800000000000006) (0.5, 0.514) (0.5, 0.22499999999999998) (0.5, 0.18600000000000005) (0.5, 0.821) (0.3333333333333333, 0.367) (0.5, 0.22199999999999998) (0.3333333333333333, 0.15500000000000003) (0.5, 0.596) (0.3333333333333333, 0.03700000000000003) 65.65083568
(1.0, 0.45699999999999996) (1.0, 0.77) (0.3333333333333333, 0.667) (0.5, 0.8069999999999999) (0.5, 0.751) (0.5, 0.8340000000000001) (0.5, 0.6609999999999999) (0.3333333333333333, 0.864) (0.5, 0.5980000000000001) (0.5, 0.09299999999999997) (0.5, 0.587) (0.5, 0.514) (1.0, 0.249) (0.5, 0.18600000000000005) (0.3333333333333333, 0.28700000000000003) (0.5, 0.633) (0.5, 0.37) (0.5, 0.15500000000000003) (0.5, 0.404) (0.5, 0.03700000000000003) 41.90109161
(1.0, 0.726) (0.5, 0.77) (0.3333333333333333, 0.823) (0.5, 0.748) (0.5, 0.751) (0.5, 0.397) (0.5, 0.31499999999999984) (0.5, 0.524) (0.3333333333333333, 0.45200000000000007) (0.5, 0.051999999999999935) (0.5, 0.41300000000000003) (0.5, 0.28200000000000003) (0.3333333333333333, 0.775) (0.5, 0.8140000000000001) (0.3333333333333333, 0.28700000000000003) (0.5, 0.367) (0.5, 0.37) (0.5, 0.15500000000000003) (0.3333333333333333, 0.596) (0.5, 0.03700000000000003) 69.33134233
(1.0, 0.3939999999999999) (0.5, 0.359) (0.5, 0.823) (0.5, 0.44199999999999995) (0.5, 0.499) (0.5, 0.397) (0.3333333333333333, 0.4009999999999999) (0.5, 0.136) (0.3333333333333333, 0.14200000000000013) (0.3333333333333333, 0.09299999999999997) (0.3333333333333333, 0.721) (0.3333333333333333, 0.6679999999999999) (0.3333333333333333, 0.775) (0.3333333333333333, 0.139) (0.5, 0.821) (0.3333333333333333, 0.661) (0.5, 0.1479999999999999) (0.3333333333333333, 0.845) (0.3333333333333333, 0.404) (0.5, 0.03700000000000003) 129.86640821
(0.5, 0.731) (1.0, 0.359) (0.5, 0.2929999999999999) (0.5, 0.45399999999999996) (1.0, 0.25) (1.0, 0.397) (0.5, 0.4889999999999999) (0.5, 0.29300000000000004) (0.5, 0.95) (0.5, 0.051999999999999935) (0.5, 0.543) (0.5, 0.718) (0.5, 0.484) (0.5, 0.953) (0.3333333333333333, 0.28700000000000003) (0.5, 0.661) (0.5, 0.852) (0.5, 0.15500000000000003) (0.5, 0.596) (0.3333333333333333, 0.03700000000000003) 34.33149860
(0.5, 0.726) (0.5, 0.77) (0.5, 0.96) (0.5, 0.903) (0.5, 0.751) (0.5, 0.397) (0.5, 0.5129999999999999) (0.5, 0.136) (0.5, 0.14200000000000013) (0.5, 0.051999999999999935) (0.5, 0.13000000000000012) (0.5, 0.614) (0.5, 0.765) (0.5, 0.953) (0.3333333333333333, 0.28700000000000003) (0.5, 0.661) (0.5, 0.37) (0.3333333333333333, 0.15500000000000003) (0.5, 0.596) (0.5, 0.03700000000000003) 40.47643307
(1.0, 0.3939999999999999) (0.5, 0.77) (0.5, 0.823) (0.3333333333333333, 0.28) (0.5, 0.501) (0.5, 0.397) (0.5, 0.06199999999999983) (0.5, 0.367) (0.3333333333333333, 0.45200000000000007) (0.5, 0.051999999999999935) (0.3333333333333333, 0.587) (0.5, 0.28200000000000003) (0.5, 0.249) (0.5, 0.139) (0.5, 0.7130000000000001) (0.3333333333333333, 0.667) (0.5, 0.16999999999999993) (0.3333333333333333, 0.845) (0.3333333333333333, 0.404) (0.3333333333333333, 0.03700000000000003) 95.16946409
(1.0, 0.726) (1.0, 0.77) (1.0, 0.2929999999999999) (0.3333333333333333, 0.377) (1.0, 0.751) (1.0, 0.397) (1.0, 0.6539999999999999) (1.0, 0.524) (0.3333333333333333, 0.45200000000000007) (1.0, 0.051999999999999935) (0.3333333333333333, 0.851) (1.0, 0.28200000000000003) (1.0, 0.7090000000000001) (1.0, 0.04700000000000004) (0.3333333333333333, 0.17900000000000005) (1.0, 0.03400000000000003) (1.0, 0.37) (0.25, 0.845) (1.0, 0.404) (1.0, 0.03700000000000003) 195.47532404
(1.0, 0.3939999999999999) (1.0, 0.359) (0.5, 0.381) (0.5, 0.31099999999999994) (0.5, 0.751) (1.0, 0.29400000000000004) (0.5, 0.828) (0.5, 0.15700000000000003) (1.0, 0.5480000000000002) (0.5, 0.051999999999999935) (0.5, 0.13000000000000012) (0.5, 0.28200000000000003) (0.5, 0.775) (0.5, 0.139) (0.5, 0.821) (0.5, 0.367) (0.5, 0.22199999999999998) (0.5, 0.15500000000000003) (0.5, 0.596) (0.3333333333333333, 0.03700000000000003) 24.31104417
(0.5, 0.731) (0.5, 0.77) (0.5, 0.42099999999999993) (0.5, 0.819) (0.5, 0.751) (1.0, 0.18300000000000005) (0.5, 0.828) (0.3333333333333333, 0.864) (0.5, 0.6900000000000001) (0.5, 0.09299999999999997) (0.5, 0.13000000000000012) (0.5, 0.28200000000000003) (0.5, 0.7090000000000001) (0.5, 0.139) (0.3333333333333333, 0.28700000000000003) (0.5, 0.367) (0.5, 0.22199999999999998) (0.5, 0.15500000000000003) (0.5, 0.596) (0.5, 0.03700000000000003) 38.05140374
