Age Sex Job Housing Saving accounts Checking account Credit amount Duration Purpose Runtime
(1.0, 0.25) (0.5, 0.5) (0.5, 0.5) (0.0, 0.0) (1.0, 0.6) (1.0, 0.25) (1.0, 0.5) (1.0, 0.6666666666666667) (0.5, 0.375) 2.66172967
(1.0, 0.5) (1.0, 0.5) (1.0, 0.25) (1.0, 0.33333333333333337) (1.0, 0.6) (1.0, 0.75) (0.0, 0.0) (1.0, 0.33333333333333337) (1.0, 0.125) 2.24155557
(0.0, 0.0) (0.5, 0.5) (0.5, 0.75) (0.5, 0.33333333333333337) (1.0, 0.19999999999999996) (1.0, 0.25) (1.0, 0.5) (1.0, 0.33333333333333337) (0.5, 0.875) 2.81928014
(0.5, 0.5) (0.0, 0.0) (0.5, 0.75) (1.0, 0.33333333333333337) (0.5, 0.6) (1.0, 0.25) (1.0, 0.5) (1.0, 0.6666666666666667) (0.5, 0.625) 3.95868356
(1.0, 0.25) (0.5, 0.5) (0.5, 0.5) (1.0, 0.33333333333333337) (1.0, 0.6) (1.0, 0.5) (0.5, 0.5) (0.5, 0.33333333333333337) (0.5, 0.125) 0.55942620
(0.5, 0.25) (0.0, 0.0) (0.5, 0.5) (0.5, 0.33333333333333337) (0.5, 0.8) (1.0, 0.5) (0.5, 0.75) (1.0, 0.33333333333333337) (0.5, 0.75) 4.42533971
(1.0, 0.5) (0.0, 0.0) (1.0, 0.5) (1.0, 0.6666666666666667) (1.0, 0.8) (1.0, 0.75) (0.3333333333333333, 0.25) (1.0, 0.6666666666666667) (0.0, 0.0) 5.49504636
(0.0, 0.0) (0.0, 0.0) (0.5, 0.5) (1.0, 0.33333333333333337) (1.0, 0.6) (1.0, 0.5) (1.0, 0.5) (1.0, 0.6666666666666667) (0.5, 0.125) 6.12623591
(1.0, 0.25) (0.5, 0.5) (0.5, 0.5) (0.0, 0.0) (1.0, 0.6) (1.0, 0.5) (1.0, 0.5) (1.0, 0.6666666666666667) (0.0, 0.0) 4.46908928
(1.0, 0.5) (1.0, 0.5) (1.0, 0.25) (1.0, 0.33333333333333337) (1.0, 0.8) (1.0, 0.75) (0.0, 0.0) (1.0, 0.33333333333333337) (1.0, 0.125) 2.22405579
(1.0, 0.5) (1.0, 0.5) (0.5, 0.5) (1.0, 0.33333333333333337) (1.0, 0.6) (1.0, 0.75) (0.5, 0.25) (1.0, 0.33333333333333337) (1.0, 0.125) 0.22647861
(1.0, 0.5) (1.0, 0.5) (1.0, 0.25) (1.0, 0.33333333333333337) (1.0, 0.8) (1.0, 0.75) (0.3333333333333333, 0.25) (1.0, 0.33333333333333337) (1.0, 0.125) 0.51323991
(1.0, 0.5) (1.0, 0.5) (1.0, 0.25) (1.0, 0.33333333333333337) (1.0, 0.6) (1.0, 0.5) (0.0, 0.0) (1.0, 0.6666666666666667) (1.0, 0.125) 2.28345389
(1.0, 0.5) (0.0, 0.0) (1.0, 0.5) (0.0, 0.0) (1.0, 0.8) (1.0, 0.75) (1.0, 0.75) (1.0, 0.6666666666666667) (0.0, 0.0) 7.39710329
(1.0, 0.25) (0.0, 0.0) (0.5, 0.5) (0.0, 0.0) (1.0, 0.6) (1.0, 0.5) (1.0, 0.5) (1.0, 0.6666666666666667) (0.5, 0.625) 6.01601095
(1.0, 0.25) (0.5, 0.5) (0.5, 0.5) (0.0, 0.0) (1.0, 0.6) (1.0, 0.25) (1.0, 0.5) (1.0, 0.6666666666666667) (0.5, 0.625) 2.67925368
(0.5, 0.25) (0.0, 0.0) (0.5, 0.5) (1.0, 0.33333333333333337) (1.0, 0.19999999999999996) (1.0, 0.5) (1.0, 0.5) (1.0, 0.33333333333333337) (0.5, 0.125) 3.87217399
(1.0, 0.5) (0.0, 0.0) (1.0, 0.75) (0.0, 0.0) (1.0, 0.8) (1.0, 0.5) (1.0, 0.75) (1.0, 0.6666666666666667) (1.0, 0.125) 5.43294247
(0.5, 0.25) (0.5, 0.5) (0.5, 0.5) (0.5, 0.33333333333333337) (0.5, 0.8) (1.0, 0.25) (0.5, 0.75) (1.0, 0.33333333333333337) (0.5, 0.375) 0.75877399
(0.5, 0.5) (0.5, 0.5) (0.5, 0.25) (0.5, 0.33333333333333337) (0.5, 0.6) (1.0, 0.25) (0.5, 0.75) (1.0, 0.33333333333333337) (0.5, 0.125) 0.84680943
(1.0, 0.5) (1.0, 0.5) (0.5, 0.5) (1.0, 0.33333333333333337) (1.0, 0.6) (1.0, 0.75) (0.5, 0.25) (1.0, 0.33333333333333337) (1.0, 0.125) 0.09101009
(0.5, 0.25) (0.0, 0.0) (1.0, 0.25) (1.0, 0.33333333333333337) (1.0, 0.6) (1.0, 0.5) (1.0, 0.75) (1.0, 0.6666666666666667) (1.0, 0.125) 3.43749706
(1.0, 0.25) (0.0, 0.0) (0.5, 0.5) (0.0, 0.0) (1.0, 0.6) (1.0, 0.5) (1.0, 0.5) (1.0, 0.6666666666666667) (0.5, 0.5) 6.03607306
(1.0, 0.5) (0.0, 0.0) (0.5, 0.5) (0.0, 0.0) (1.0, 0.6) (1.0, 0.75) (1.0, 0.75) (1.0, 0.6666666666666667) (0.5, 0.125) 5.90327678
(0.5, 0.25) (0.0, 0.0) (1.0, 0.25) (1.0, 0.33333333333333337) (1.0, 0.6) (1.0, 0.5) (1.0, 0.75) (1.0, 0.6666666666666667) (1.0, 0.125) 3.39995273
(1.0, 0.5) (0.0, 0.0) (0.5, 0.5) (0.0, 0.0) (1.0, 0.6) (1.0, 0.75) (1.0, 0.75) (1.0, 0.6666666666666667) (0.5, 0.125) 5.91965281
(1.0, 0.5) (1.0, 0.5) (1.0, 0.25) (1.0, 0.33333333333333337) (1.0, 0.8) (1.0, 0.75) (0.0, 0.0) (1.0, 0.33333333333333337) (1.0, 0.125) 2.23231843
(1.0, 0.25) (0.5, 0.5) (0.5, 0.5) (1.0, 0.33333333333333337) (1.0, 0.6) (1.0, 0.5) (0.5, 0.5) (0.5, 0.33333333333333337) (0.5, 0.125) 0.17856510
(0.5, 0.5) (0.0, 0.0) (0.5, 0.25) (0.5, 0.33333333333333337) (0.5, 0.8) (1.0, 0.25) (0.5, 0.75) (0.5, 0.6666666666666667) (0.5, 0.125) 4.85223795
(1.0, 0.25) (0.0, 0.0) (0.5, 0.5) (0.0, 0.0) (1.0, 0.6) (1.0, 0.5) (1.0, 0.5) (1.0, 0.6666666666666667) (0.5, 0.625) 5.97386526
(1.0, 0.5) (1.0, 0.5) (1.0, 0.25) (1.0, 0.33333333333333337) (1.0, 0.8) (1.0, 0.75) (1.0, 0.5) (0.0, 0.0) (1.0, 0.125) 4.73273928
(1.0, 0.5) (0.0, 0.0) (1.0, 0.5) (0.0, 0.0) (1.0, 0.8) (1.0, 0.5) (1.0, 0.75) (1.0, 0.6666666666666667) (1.0, 0.375) 5.43291077
(1.0, 0.25) (0.5, 0.5) (0.5, 0.75) (0.0, 0.0) (1.0, 0.6) (1.0, 0.25) (1.0, 0.5) (1.0, 0.6666666666666667) (0.5, 0.375) 2.61948736
(0.0, 0.0) (0.0, 0.0) (0.5, 0.5) (1.0, 0.33333333333333337) (1.0, 0.6) (1.0, 0.5) (1.0, 0.5) (1.0, 0.6666666666666667) (0.5, 0.125) 5.99591388
(0.0, 0.0) (0.0, 0.0) (1.0, 0.25) (1.0, 0.33333333333333337) (1.0, 0.8) (1.0, 0.5) (1.0, 0.75) (1.0, 0.6666666666666667) (1.0, 0.125) 5.43456060
(1.0, 0.5) (1.0, 0.5) (0.0, 0.0) (1.0, 0.33333333333333337) (1.0, 0.8) (1.0, 0.75) (1.0, 0.5) (1.0, 0.33333333333333337) (1.0, 0.125) 11.55314800
(0.0, 0.0) (0.0, 0.0) (0.5, 0.5) (1.0, 0.33333333333333337) (1.0, 0.19999999999999996) (1.0, 0.5) (1.0, 0.5) (1.0, 0.33333333333333337) (0.5, 0.875) 6.16510030
