Age Sex Job Housing Saving accounts Checking account Credit amount Duration Purpose Runtime
(0.3333333333333333, 0.5) (0.0, 0.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.5, 1.0) (0.5, 1.0) (0.5, 1.0) (1.0, 0.33333333333333337) (0.2, 1.0) 4.73969300
(0.25, 0.25) (0.25, 1.0) (0.16666666666666666, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) (0.3333333333333333, 1.0) (0.5, 1.0) (0.25, 1.0) (0.3333333333333333, 0.19999999999999996) 14.36292030
(0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.0, 0.0) (0.3333333333333333, 1.0) (0.5, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) 4.84728731
(0.5, 0.25) (0.5, 1.0) (0.2, 1.0) (0.5, 0.33333333333333337) (0.5, 0.33333333333333337) (1.0, 0.33333333333333337) (0.0, 0.0) (0.5, 0.25) (0.5, 0.19999999999999996) 3.27153026
(0.0, 0.0) (0.3333333333333333, 1.0) (0.5, 1.0) (0.5, 1.0) (0.3333333333333333, 1.0) (0.25, 1.0) (0.3333333333333333, 1.0) (0.5, 1.0) (0.5, 1.0) 4.37430712
(0.3333333333333333, 1.0) (0.0, 0.0) (0.25, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.25, 1.0) (0.3333333333333333, 1.0) (0.25, 1.0) 10.40694254
(0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.25, 1.0) (0.5, 1.0) (0.5, 1.0) (0.5, 1.0) (0.5, 1.0) (0.5, 1.0) (0.5, 0.33333333333333337) 1.59748253
(0.25, 0.33333333333333337) (0.0, 0.0) (0.2, 1.0) (0.5, 1.0) (0.5, 0.5) (0.5, 1.0) (0.5, 1.0) (0.5, 1.0) (0.5, 1.0) 5.62440241
(0.3333333333333333, 0.5) (0.0, 0.0) (0.2, 1.0) (0.5, 1.0) (0.25, 0.25) (0.3333333333333333, 1.0) (0.0, 0.0) (0.5, 1.0) (0.0, 0.0) 16.04518282
(0.0, 0.0) (0.0, 0.0) (0.3333333333333333, 1.0) (0.3333333333333333, 1.0) (0.5, 1.0) (0.5, 1.0) (1.0, 0.33333333333333337) (1.0, 0.33333333333333337) (0.25, 1.0) 7.23710629
