Age Sex Job Housing Saving accounts Checking account Credit amount Duration Purpose Runtime
(1.0, 0.484) (1.0, 0.69) (1.0, 0.02199999999999991) (1.0, 0.7130000000000001) (0.0, 0.0) (1.0, 0.726) (1.0, 0.751) (1.0, 0.359) (1.0, 0.28) 7.15046355
(1.0, 0.249) (0.5, 0.69) (0.5, 0.22199999999999998) (0.0, 0.0) (1.0, 0.29400000000000004) (1.0, 0.3939999999999999) (1.0, 0.5) (1.0, 0.77) (0.5, 0.629) 2.64912775
(1.0, 0.484) (1.0, 0.69) (1.0, 0.02199999999999991) (1.0, 0.7130000000000001) (1.0, 0.29400000000000004) (1.0, 0.726) (0.0, 0.0) (1.0, 0.359) (1.0, 0.28) 2.22906451
(0.0, 0.0) (0.5, 0.69) (0.5, 0.852) (0.5, 0.7130000000000001) (1.0, 0.18300000000000005) (1.0, 0.3939999999999999) (1.0, 0.5) (1.0, 0.359) (0.5, 0.903) 2.80674853
(0.5, 0.484) (0.0, 0.0) (0.5, 0.852) (1.0, 0.7130000000000001) (0.5, 0.29400000000000004) (1.0, 0.3939999999999999) (1.0, 0.5) (1.0, 0.77) (0.5, 0.663) 3.92929429
(1.0, 0.249) (0.5, 0.69) (0.5, 0.22199999999999998) (1.0, 0.7130000000000001) (1.0, 0.29400000000000004) (1.0, 0.45699999999999996) (0.5, 0.5) (0.5, 0.359) (0.5, 0.28) 0.55846681
(0.5, 0.249) (0.0, 0.0) (0.5, 0.22199999999999998) (0.5, 0.7130000000000001) (0.5, 0.397) (1.0, 0.45699999999999996) (0.5, 0.751) (1.0, 0.359) (0.5, 0.722) 4.40705925
(1.0, 0.484) (0.0, 0.0) (1.0, 0.22199999999999998) (1.0, 0.821) (1.0, 0.397) (1.0, 0.726) (0.3333333333333333, 0.25) (1.0, 0.77) (0.0, 0.0) 5.47643013
(0.0, 0.0) (0.0, 0.0) (0.5, 0.22199999999999998) (1.0, 0.7130000000000001) (1.0, 0.29400000000000004) (1.0, 0.45699999999999996) (1.0, 0.5) (1.0, 0.77) (0.5, 0.28) 6.08370710
(1.0, 0.249) (0.5, 0.69) (0.5, 0.22199999999999998) (0.0, 0.0) (1.0, 0.29400000000000004) (1.0, 0.45699999999999996) (1.0, 0.5) (1.0, 0.77) (0.0, 0.0) 4.43030121
(1.0, 0.484) (1.0, 0.69) (1.0, 0.02199999999999991) (1.0, 0.7130000000000001) (1.0, 0.397) (1.0, 0.726) (0.0, 0.0) (1.0, 0.359) (1.0, 0.28) 2.20513098
(1.0, 0.484) (1.0, 0.69) (0.5, 0.22199999999999998) (1.0, 0.7130000000000001) (1.0, 0.29400000000000004) (1.0, 0.726) (0.5, 0.25) (1.0, 0.359) (1.0, 0.28) 0.22390710
(1.0, 0.484) (1.0, 0.69) (1.0, 0.02199999999999991) (1.0, 0.7130000000000001) (1.0, 0.397) (1.0, 0.726) (0.3333333333333333, 0.25) (1.0, 0.359) (1.0, 0.28) 0.50757000
(1.0, 0.484) (1.0, 0.69) (1.0, 0.02199999999999991) (1.0, 0.7130000000000001) (1.0, 0.29400000000000004) (1.0, 0.45699999999999996) (0.0, 0.0) (1.0, 0.77) (1.0, 0.28) 2.25936450
(1.0, 0.484) (0.0, 0.0) (1.0, 0.22199999999999998) (0.0, 0.0) (1.0, 0.397) (1.0, 0.726) (1.0, 0.751) (1.0, 0.77) (0.0, 0.0) 7.34297508
(1.0, 0.249) (0.0, 0.0) (0.5, 0.22199999999999998) (0.0, 0.0) (1.0, 0.29400000000000004) (1.0, 0.45699999999999996) (1.0, 0.5) (1.0, 0.77) (0.5, 0.663) 5.97984364
(1.0, 0.249) (0.5, 0.69) (0.5, 0.22199999999999998) (0.0, 0.0) (1.0, 0.29400000000000004) (1.0, 0.3939999999999999) (1.0, 0.5) (1.0, 0.77) (0.5, 0.663) 2.60402660
(0.5, 0.249) (0.0, 0.0) (0.5, 0.22199999999999998) (1.0, 0.7130000000000001) (1.0, 0.18300000000000005) (1.0, 0.45699999999999996) (1.0, 0.5) (1.0, 0.359) (0.5, 0.28) 3.86761036
(1.0, 0.484) (0.0, 0.0) (1.0, 0.852) (0.0, 0.0) (1.0, 0.397) (1.0, 0.45699999999999996) (1.0, 0.751) (1.0, 0.77) (1.0, 0.28) 5.42595662
(0.5, 0.249) (0.5, 0.69) (0.5, 0.22199999999999998) (0.5, 0.7130000000000001) (0.5, 0.397) (1.0, 0.3939999999999999) (0.5, 0.751) (1.0, 0.359) (0.5, 0.629) 0.75633081
(0.5, 0.484) (0.5, 0.69) (0.5, 0.02199999999999991) (0.5, 0.7130000000000001) (0.5, 0.29400000000000004) (1.0, 0.3939999999999999) (0.5, 0.751) (1.0, 0.359) (0.5, 0.28) 0.84665925
(1.0, 0.484) (1.0, 0.69) (0.5, 0.22199999999999998) (1.0, 0.7130000000000001) (1.0, 0.29400000000000004) (1.0, 0.726) (0.5, 0.25) (1.0, 0.359) (1.0, 0.28) 0.08995655
(0.5, 0.249) (0.0, 0.0) (1.0, 0.02199999999999991) (1.0, 0.7130000000000001) (1.0, 0.29400000000000004) (1.0, 0.45699999999999996) (1.0, 0.751) (1.0, 0.77) (1.0, 0.28) 3.43277989
(1.0, 0.249) (0.0, 0.0) (0.5, 0.22199999999999998) (0.0, 0.0) (1.0, 0.29400000000000004) (1.0, 0.45699999999999996) (1.0, 0.5) (1.0, 0.77) (0.5, 0.641) 5.99884399
(1.0, 0.484) (0.0, 0.0) (0.5, 0.22199999999999998) (0.0, 0.0) (1.0, 0.29400000000000004) (1.0, 0.726) (1.0, 0.751) (1.0, 0.77) (0.5, 0.28) 5.88814615
