 Recency Frequency Monetary Time Recency_Frequency Recency_Monetary Recency_Time Frequency_Monetary Frequency_Time Monetary_Time Recency_Frequency_Monetary Recency_Frequency_Time Recency_Monetary_Time Frequency_Monetary_Time Recency_Frequency_Monetary_Time Runtime
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0625 0.0 0.0 0.025000000000000022 0.0 0.0 0.03749999999999998 0.01749999999999996 0.04520465
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.012499999999999956 0.0 0.0 0.03749999999999998 0.01749999999999996 0.04503316
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0625 0.0 0.0 0.025000000000000022 0.0 0.0 0.03749999999999998 0.01749999999999996 0.04494128
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0625 0.0 0.0 0.025000000000000022 0.0 0.0 0.03749999999999998 0.01749999999999996 0.04511285
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.03749999999999998 0.01749999999999996 0.04535385
0.0 0.0 0.25 0.0 0.0 0.09999999999999998 0.0 0.0 0.0625 0.15000000000000002 0.0 0.025000000000000022 0.06999999999999995 0.0 0.03749999999999998 0.01749999999999996 0.04524673
0.0 0.0 0.0 0.0 0.0 0.050000000000000044 0.0 0.0 0.0 0.15000000000000002 0.0 0.012499999999999956 0.06999999999999995 0.0 0.03749999999999998 0.01749999999999996 0.04515884
0.0 0.0 0.25 0.0 0.0 0.09999999999999998 0.0 0.0 0.0625 0.15000000000000002 0.0 0.025000000000000022 0.06999999999999995 0.0 0.03749999999999998 0.01749999999999996 0.04533599
0.0 0.0 0.25 0.0 0.0 0.09999999999999998 0.0 0.0 0.0625 0.15000000000000002 0.0 0.025000000000000022 0.06999999999999995 0.0 0.03749999999999998 0.01749999999999996 0.04505390
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.15000000000000002 0.0 0.0 0.06999999999999995 0.0 0.03749999999999998 0.01749999999999996 0.04516067
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0625 0.0 0.0 0.025000000000000022 0.0 0.0 0.03749999999999998 0.01749999999999996 0.04521681
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.012499999999999956 0.0 0.0 0.03749999999999998 0.01749999999999996 0.04493463
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0625 0.0 0.0 0.025000000000000022 0.0 0.0 0.03749999999999998 0.01749999999999996 0.04518015
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0625 0.0 0.0 0.025000000000000022 0.0 0.0 0.03749999999999998 0.01749999999999996 0.04500946
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.03749999999999998 0.01749999999999996 0.04518598
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0625 0.0 0.0 0.025000000000000022 0.0 0.0 0.03749999999999998 0.01749999999999996 0.04563014
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.012499999999999956 0.0 0.0 0.03749999999999998 0.01749999999999996 0.04538046
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0625 0.0 0.0 0.025000000000000022 0.0 0.0 0.03749999999999998 0.01749999999999996 0.04535468
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0625 0.0 0.0 0.025000000000000022 0.0 0.0 0.03749999999999998 0.01749999999999996 0.04539543
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.03749999999999998 0.01749999999999996 0.04521365
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0625 0.0 0.0 0.025000000000000022 0.0 0.0 0.03749999999999998 0.01749999999999996 0.04558605
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.012499999999999956 0.0 0.0 0.03749999999999998 0.01749999999999996 0.04517015
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0625 0.0 0.0 0.025000000000000022 0.0 0.0 0.03749999999999998 0.01749999999999996 0.04521758
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0625 0.0 0.0 0.025000000000000022 0.0 0.0 0.03749999999999998 0.01749999999999996 0.04521599
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.03749999999999998 0.01749999999999996 0.04535429
0.0 0.0 0.25 0.0 0.0 0.09999999999999998 0.0 0.0 0.0625 0.15000000000000002 0.0 0.025000000000000022 0.06999999999999995 0.0 0.03749999999999998 0.01749999999999996 0.04560672
0.0 0.0 0.0 0.0 0.0 0.050000000000000044 0.0 0.0 0.0 0.15000000000000002 0.0 0.012499999999999956 0.06999999999999995 0.0 0.03749999999999998 0.01749999999999996 0.04542465
0.0 0.0 0.25 0.0 0.0 0.09999999999999998 0.0 0.0 0.0625 0.15000000000000002 0.0 0.025000000000000022 0.06999999999999995 0.0 0.03749999999999998 0.01749999999999996 0.04535976
0.0 0.0 0.25 0.0 0.0 0.09999999999999998 0.0 0.0 0.0625 0.15000000000000002 0.0 0.025000000000000022 0.06999999999999995 0.0 0.03749999999999998 0.01749999999999996 0.04538604
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.15000000000000002 0.0 0.0 0.06999999999999995 0.0 0.03749999999999998 0.01749999999999996 0.04534937
0.0 0.0 0.0 0.25 0.0 0.0 0.09999999999999998 0.0 0.0625 0.0 0.15000000000000002 0.025000000000000022 0.0 0.06999999999999995 0.03749999999999998 0.01749999999999996 0.04535069
0.0 0.0 0.0 0.0 0.0 0.0 0.050000000000000044 0.0 0.0 0.0 0.15000000000000002 0.012499999999999956 0.0 0.06999999999999995 0.03749999999999998 0.01749999999999996 0.04509870
0.0 0.0 0.0 0.25 0.0 0.0 0.09999999999999998 0.0 0.0625 0.0 0.15000000000000002 0.025000000000000022 0.0 0.06999999999999995 0.03749999999999998 0.01749999999999996 0.04524205
0.0 0.0 0.0 0.25 0.0 0.0 0.09999999999999998 0.0 0.0625 0.0 0.15000000000000002 0.025000000000000022 0.0 0.06999999999999995 0.03749999999999998 0.01749999999999996 0.04524691
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.15000000000000002 0.0 0.0 0.06999999999999995 0.03749999999999998 0.01749999999999996 0.04534260
0.0 0.0 0.0 0.25 0.0 0.0 0.09999999999999998 0.0 0.0625 0.0 0.15000000000000002 0.025000000000000022 0.0 0.06999999999999995 0.03749999999999998 0.01749999999999996 0.04524835
0.0 0.0 0.0 0.0 0.0 0.0 0.050000000000000044 0.0 0.0 0.0 0.15000000000000002 0.012499999999999956 0.0 0.06999999999999995 0.03749999999999998 0.01749999999999996 0.04525304
0.0 0.0 0.0 0.25 0.0 0.0 0.09999999999999998 0.0 0.0625 0.0 0.15000000000000002 0.025000000000000022 0.0 0.06999999999999995 0.03749999999999998 0.01749999999999996 0.04533070
0.0 0.0 0.0 0.25 0.0 0.0 0.09999999999999998 0.0 0.0625 0.0 0.15000000000000002 0.025000000000000022 0.0 0.06999999999999995 0.03749999999999998 0.01749999999999996 0.04531089
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.15000000000000002 0.0 0.0 0.06999999999999995 0.03749999999999998 0.01749999999999996 0.04517968
0.0 0.0 0.0 0.25 0.0 0.0 0.09999999999999998 0.0 0.0625 0.0 0.15000000000000002 0.025000000000000022 0.0 0.06999999999999995 0.03749999999999998 0.01749999999999996 0.04511459
0.0 0.0 0.0 0.0 0.0 0.0 0.050000000000000044 0.0 0.0 0.0 0.15000000000000002 0.012499999999999956 0.0 0.06999999999999995 0.03749999999999998 0.01749999999999996 0.04505287
0.0 0.0 0.0 0.25 0.0 0.0 0.09999999999999998 0.0 0.0625 0.0 0.15000000000000002 0.025000000000000022 0.0 0.06999999999999995 0.03749999999999998 0.01749999999999996 0.04515127
0.0 0.0 0.0 0.25 0.0 0.0 0.09999999999999998 0.0 0.0625 0.0 0.15000000000000002 0.025000000000000022 0.0 0.06999999999999995 0.03749999999999998 0.01749999999999996 0.04502790
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.15000000000000002 0.0 0.0 0.06999999999999995 0.03749999999999998 0.01749999999999996 0.04479187
0.0 0.19999999999999996 0.0 0.0 0.6 0.050000000000000044 0.050000000000000044 0.28 0.0 0.15000000000000002 0.15000000000000002 0.012499999999999956 0.06999999999999995 0.06999999999999995 0.03749999999999998 0.01749999999999996 0.04517654
0.0 0.0 0.0 0.0 0.6 0.0 0.0 0.28 0.0 0.15000000000000002 0.15000000000000002 0.0 0.06999999999999995 0.06999999999999995 0.03749999999999998 0.01749999999999996 0.04510035
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0625 0.0 0.0 0.025000000000000022 0.0 0.0 0.050000000000000044 0.01749999999999996 0.04506675
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0625 0.0 0.0 0.012499999999999956 0.0 0.0 0.050000000000000044 0.01749999999999996 0.04532934
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0625 0.0 0.0 0.025000000000000022 0.0 0.0 0.050000000000000044 0.01749999999999996 0.04501422
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0625 0.0 0.0 0.025000000000000022 0.0 0.0 0.050000000000000044 0.01749999999999996 0.04534067
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.050000000000000044 0.01749999999999996 0.04504166
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0625 0.0 0.0 0.025000000000000022 0.0 0.0 0.050000000000000044 0.01749999999999996 0.04506264
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0625 0.0 0.0 0.012499999999999956 0.0 0.0 0.050000000000000044 0.01749999999999996 0.04530724
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0625 0.0 0.0 0.025000000000000022 0.0 0.0 0.050000000000000044 0.01749999999999996 0.04511580
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0625 0.0 0.0 0.025000000000000022 0.0 0.0 0.050000000000000044 0.01749999999999996 0.04548258
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.050000000000000044 0.01749999999999996 0.04500170
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0625 0.0 0.0 0.025000000000000022 0.0 0.0 0.050000000000000044 0.01749999999999996 0.04514187
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0625 0.0 0.0 0.012499999999999956 0.0 0.0 0.050000000000000044 0.01749999999999996 0.04531028
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0625 0.0 0.0 0.025000000000000022 0.0 0.0 0.050000000000000044 0.01749999999999996 0.04527869
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0625 0.0 0.0 0.025000000000000022 0.0 0.0 0.050000000000000044 0.01749999999999996 0.04529454
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.050000000000000044 0.01749999999999996 0.04510858
0.0 0.0 0.25 0.0 0.0 0.09999999999999998 0.0 0.0 0.0625 0.19999999999999996 0.0 0.025000000000000022 0.06999999999999995 0.0 0.050000000000000044 0.01749999999999996 0.04515787
0.0 0.0 0.25 0.0 0.0 0.050000000000000044 0.0 0.0 0.0625 0.19999999999999996 0.0 0.012499999999999956 0.06999999999999995 0.0 0.050000000000000044 0.01749999999999996 0.04530376
0.0 0.0 0.25 0.0 0.0 0.09999999999999998 0.0 0.0 0.0625 0.19999999999999996 0.0 0.025000000000000022 0.06999999999999995 0.0 0.050000000000000044 0.01749999999999996 0.04547499
0.0 0.0 0.25 0.0 0.0 0.09999999999999998 0.0 0.0 0.0625 0.19999999999999996 0.0 0.025000000000000022 0.06999999999999995 0.0 0.050000000000000044 0.01749999999999996 0.04514015
