Recency Frequency Monetary Time Runtime
(0.25, 0.19999999999999996) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.3333333333333333, 0.6) 0.08049662
(0.3333333333333333, 0.19999999999999996) (1.0, 0.25) (0.0, 0.0) (0.0, 0.0) 0.06894213
(0.5, 0.19999999999999996) (0.5, 0.25) (0.0, 0.0) (0.5, 0.6) 0.05477638
(0.3333333333333333, 0.19999999999999996) (1.0, 0.25) (0.0, 0.0) (0.0, 0.0) 0.06885124
(0.3333333333333333, 0.19999999999999996) (1.0, 0.25) (0.0, 0.0) (0.0, 0.0) 0.06886274
(0.3333333333333333, 0.19999999999999996) (0.5, 0.25) (0.0, 0.0) (0.5, 0.6) 0.06338750
(0.3333333333333333, 0.19999999999999996) (0.0, 0.0) (1.0, 0.25) (0.0, 0.0) 0.30722273
(0.5, 0.19999999999999996) (0.0, 0.0) (0.5, 0.25) (0.5, 0.6) 0.05500662
(0.3333333333333333, 0.19999999999999996) (0.0, 0.0) (1.0, 0.25) (0.0, 0.0) 0.06902207
(0.3333333333333333, 0.19999999999999996) (0.0, 0.0) (1.0, 0.25) (0.0, 0.0) 0.06914360
(0.3333333333333333, 0.19999999999999996) (0.0, 0.0) (0.5, 0.25) (0.5, 0.6) 0.06359498
(0.3333333333333333, 0.19999999999999996) (0.0, 0.0) (1.0, 0.25) (0.0, 0.0) 0.06886020
(0.5, 0.19999999999999996) (0.0, 0.0) (0.5, 0.25) (0.5, 0.6) 0.05494920
(0.3333333333333333, 0.19999999999999996) (0.0, 0.0) (1.0, 0.25) (0.0, 0.0) 0.06905450
(0.3333333333333333, 0.19999999999999996) (0.0, 0.0) (1.0, 0.25) (0.0, 0.0) 0.06904321
(0.3333333333333333, 0.19999999999999996) (0.0, 0.0) (0.5, 0.25) (0.5, 0.6) 0.06392091
(0.3333333333333333, 0.19999999999999996) (0.0, 0.0) (1.0, 0.25) (0.0, 0.0) 0.06916307
(0.5, 0.19999999999999996) (0.0, 0.0) (0.5, 0.25) (0.5, 0.6) 0.05505242
(0.3333333333333333, 0.19999999999999996) (0.0, 0.0) (1.0, 0.25) (0.0, 0.0) 0.06924983
(0.3333333333333333, 0.19999999999999996) (0.0, 0.0) (1.0, 0.25) (0.0, 0.0) 0.06921508
(0.3333333333333333, 0.19999999999999996) (0.0, 0.0) (0.5, 0.25) (0.5, 0.6) 0.06365020
(1.0, 0.19999999999999996) (0.0, 0.0) (0.0, 0.0) (1.0, 0.6) 0.05296908
(0.5, 0.19999999999999996) (0.0, 0.0) (0.0, 0.0) (1.0, 0.6) 0.06086123
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.26829220
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.25, 0.6) 0.07569381
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.07299682
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.07295004
(0.0, 0.0) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.3333333333333333, 0.8) 0.08412725
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.07047418
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.25, 0.6) 0.06811515
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.07044419
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.07051797
(0.0, 0.0) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.3333333333333333, 0.8) 0.08163128
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.07045361
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.25, 0.6) 0.06774408
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.07039050
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.07037140
(0.0, 0.0) (0.3333333333333333, 0.25) (0.3333333333333333, 0.25) (0.3333333333333333, 0.8) 0.08162182
(0.0, 0.0) (1.0, 0.25) (0.0, 0.0) (0.0, 0.0) 0.07379253
(0.0, 0.0) (1.0, 0.25) (0.0, 0.0) (0.3333333333333333, 0.6) 0.06947786
(0.0, 0.0) (1.0, 0.25) (0.0, 0.0) (0.0, 0.0) 0.07348308
(0.0, 0.0) (1.0, 0.25) (0.0, 0.0) (0.0, 0.0) 0.07375854
(0.0, 0.0) (0.5, 0.25) (0.0, 0.0) (0.5, 0.8) 0.06845505
(0.0, 0.0) (0.5, 0.25) (0.5, 0.25) (0.0, 0.0) 0.07059587
